instance_name,opt_value,solver,solution_cost,deviation_%,time_sec
scp42,512.0,greedy_plus_FI1x1,528.0,3.12,1.5144
scp43,516.0,greedy_plus_FI1x1,534.0,3.49,2.0483
scp44,494.0,greedy_plus_FI1x1,504.0,2.02,1.6767
scp45,512.0,greedy_plus_FI1x1,518.0,1.17,1.6269
scp46,560.0,greedy_plus_FI1x1,583.0,4.11,1.3298
scp47,430.0,greedy_plus_FI1x1,443.0,3.02,1.1218
scp48,492.0,greedy_plus_FI1x1,508.0,3.25,1.201
scp49,641.0,greedy_plus_FI1x1,663.0,3.43,2.0877
scp51,253.0,greedy_plus_FI1x1,269.0,6.32,2.5076
scp52,302.0,greedy_plus_FI1x1,326.0,7.95,2.0575
scp53,226.0,greedy_plus_FI1x1,232.0,2.65,1.6206
scp54,242.0,greedy_plus_FI1x1,250.0,3.31,1.8449
scp55,211.0,greedy_plus_FI1x1,212.0,0.47,2.8133
scp56,213.0,greedy_plus_FI1x1,223.0,4.69,3.0459
scp57,293.0,greedy_plus_FI1x1,301.0,2.73,3.1431
scp58,288.0,greedy_plus_FI1x1,311.0,7.99,1.3181
scp59,279.0,greedy_plus_FI1x1,292.0,4.66,1.4817
scp61,138.0,greedy_plus_FI1x1,142.0,2.9,0.4492
scp62,146.0,greedy_plus_FI1x1,156.0,6.85,0.5317
scp63,145.0,greedy_plus_FI1x1,156.0,7.59,0.4204
scp64,131.0,greedy_plus_FI1x1,140.0,6.87,0.6866
scp65,161.0,greedy_plus_FI1x1,180.0,11.8,0.9916
scpa1,253.0,greedy_plus_FI1x1,260.0,2.77,5.1752
scpa2,252.0,greedy_plus_FI1x1,268.0,6.35,4.2942
scpa3,232.0,greedy_plus_FI1x1,242.0,4.31,7.7937
scpa4,234.0,greedy_plus_FI1x1,241.0,2.99,10.5873
scpa5,236.0,greedy_plus_FI1x1,243.0,2.97,7.0166
scpb1,69.0,greedy_plus_FI1x1,72.0,4.35,2.8565
scpb2,76.0,greedy_plus_FI1x1,79.0,3.95,3.7083
scpb3,80.0,greedy_plus_FI1x1,82.0,2.5,2.9493
scpb4,79.0,greedy_plus_FI1x1,83.0,5.06,1.6815
scpb5,72.0,greedy_plus_FI1x1,75.0,4.17,1.4659
scpc1,227.0,greedy_plus_FI1x1,235.0,3.52,12.5059
scpc2,219.0,greedy_plus_FI1x1,224.0,2.28,14.5804
scpc3,243.0,greedy_plus_FI1x1,258.0,6.17,8.6579
scpc4,219.0,greedy_plus_FI1x1,235.0,7.31,8.934
scpc5,215.0,greedy_plus_FI1x1,221.0,2.79,7.7734
scpd1,60.0,greedy_plus_FI1x1,68.0,13.33,2.4669
scpd2,66.0,greedy_plus_FI1x1,71.0,7.58,2.3385
scpd3,72.0,greedy_plus_FI1x1,79.0,9.72,3.4913
scpd4,62.0,greedy_plus_FI1x1,67.0,8.06,2.6328
scpd5,61.0,greedy_plus_FI1x1,66.0,8.2,2.3354
